Descriptor,Phones,Primary,Secondary,Tertiary,EN-Translation,TP Translation
Front/Anterior,,"SPA,ANAT,MERE,LOC","TEMP,SOC,GEOM",,"front,foreward,before,face",sinpin
Behind/Posterior,,"SPA,ANAT,MERE,LOC","TEMP,SOC,GEOM",,,monsi
Left/Sinister,,"SPA,ANAT,MERE,LOC","TEMP,SOC,GEOM",,,
Right/Dextral,,"SPA,ANAT,MERE,LOC","TEMP,SOC,GEOM",,,
Above/Superior,,"SPA,ANAT,MERE,LOC","TEMP,SOC,GEOM",,,sewi
Underneath/Inferior,,"SPA,ANAT,MERE,LOC","TEMP,SOC,GEOM",,,"anpa,noka"
Head-Skull/Cranial,,"SPA,ANAT,MERE,LOC","TEMP,SOC,GEOM,FOOD",,,lawa
Head/Nose,,"SPA,ANAT,MERE,LOC","TEMP,SOC,GEOM,FOOD",,,lawa/nena
Head-General/Cephaloid,,"SPA,ANAT,MERE,LOC","TEMP,SOC,GEOM,FOOD",,,lawa
Belly/Underside/Ventral,,"SPA,ANAT,MERE,LOC","TEMP,SOC,GEOM,FOOD",,,insa
Back/Spinal/Dorsal,,"SPA,ANAT,MERE,LOC","TEMP,SOC,GEOM,FOOD",,,monsi
Sides/Laterals,,"SPA,ANAT,MERE,LOC","TEMP,SOC,GEOM,FOOD",,,poka/selo
Medial,,"SPA,ANAT,MERE,LOC","TEMP,SOC,GEOM",,,insa
Inner-Lateral-Side/Ulnar,,"SPA,ANAT,MERE,LOC","TEMP,SOC,GEOM,FOOD",,,
Outer-Lateral-Side/Radial,,"SPA,ANAT,MERE,LOC","TEMP,SOC,GEOM,FOOD",,,
Proximal,,"SPA,ANAT,MERE,LOC","TEMP,SOC,GEOM",,,
Distal,,"SPA,ANAT,MERE,LOC","TEMP,SOC,GEOM",,,
Butt/Tail-End/Caudal,,"SPA,ANAT,MERE,LOC","TEMP,SOC,GEOM,FOOD",,,monsi/anpa
,,,,,,
,,,,,,
,,,,,,
Descriptor,Phones,Primary,Secondary,Tertiary,EN-Translation,TP Translation
Front/Anterior,,"SPA,ANAT,MERE,LOC","TEMP,SOC,GEOM",,"front,foreward,before,face",sinpin
Behind/Posterior,,"SPA,ANAT,MERE,LOC","TEMP,SOC,GEOM",,,monsi
Head-Skull/Cranial,,"SPA,ANAT,MERE,LOC","TEMP,SOC,GEOM,FOOD","FURN1,KNOW2",,lawa
